"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Netherlands",1997,0.422330745098536,0.0662151623135974,-0.257460824477172,0.261761899608679,0.135485743134727,0.672969704709181,0.00637842730535502,0.984471448841562,0.0739810299999725,0.825229704281243,0.0861454053563773,0.630142482808467,0,0,0
"Netherlands",1998,0.290915767777487,0.277105931740471,0.224602404087933,0.401187816988954,0.121011349412066,0.749360058708255,-0.0728732793784964,0.854107127401365,0.238404086621511,0.529200431618039,0.387046080220639,0.0601372179584951,0,0,0
"Netherlands",1999,0.349543145213299,0.0592993359313017,0.272859334407009,0.143451138939572,-0.200552101022013,0.45253353440452,0.324525297690292,0.23539856580811,0.472787319718249,0.0652669807336082,0.202295350476991,0.157903137841938,0,0,0
"Netherlands",2000,-0.0780590347842206,0.674021777910482,0.459744659672521,0.0124233423758145,-0.480829499103372,0.0676357508858342,-0.10579687246856,0.706867921788642,-0.166225441459627,0.544842506288131,-0.0913337684603846,0.525210686775408,1,0.459744659672521,0.0766241099454201
"Netherlands",2001,0.225524058051635,0.39928368413403,-0.212094173564662,0.417282258453623,0.242295219142878,0.505868689157982,0.49561850092555,0.214581067232963,0.361365782216219,0.365177317783828,0.215854258071235,0.289051731866736,0,0,0
"Netherlands",2002,-0.31850991397596,0.359704120323697,-0.0320512256447335,0.92650352896221,0.103290076338362,0.831332501953215,-0.0567519524454633,0.908755471208175,-0.351909469453367,0.487149853936847,0.259302987997654,0.334921128266756,0,0,0
"Netherlands",2003,0.00442789836133981,0.986960303118853,0.288455657859875,0.291140337244077,-0.372118985015598,0.324252155195944,0.448246352582734,0.255485955277303,0.12400821064308,0.747467050617224,-0.170930039015157,0.415773048522629,0,0,0
"Netherlands",2004,-0.148218796519558,0.263371778130649,-0.0195157540639658,0.881930021455904,0.143216911872455,0.448798028463767,0.0535015810129508,0.781851328315214,0.105746658208755,0.560079814965631,0.0593695710893293,0.560515683954882,0,0,0
"Netherlands",2005,0.141753147525163,0.156520321813057,0.174601432429182,0.0790141210900907,0.0694711115266708,0.620696621540299,-0.374110921721043,0.00811892037537394,0.0594277843562494,0.672040488078667,-0.0190649604467354,0.804777157420849,1,0.374110921721043,0.0623518202868405
"Netherlands",2006,0.0205770122317866,0.880880642802519,-0.0581879290040889,0.66709065398971,0.171986468810328,0.361490938858181,-0.00703271993131644,0.972801951450608,0.16876388632413,0.40201083509765,0.0641343379918415,0.540479049262865,0,0,0
"Netherlands",2007,-0.0363897189619888,0.819357640232199,0.0600151643516395,0.706467856714224,0.0906632709693292,0.682770832920309,0.202080770287702,0.394226118947226,0.062062092595419,0.793454625156185,-0.011683906239515,0.92449570432684,0,0,0
"Netherlands",2008,0.154238200313805,0.708610764024006,-0.0548515322084145,0.895036853113098,-0.366683403126287,0.523622897055832,0.648980571983759,0.25940505957876,0.161319130993556,0.783418530062781,0.283208146965846,0.374437628362583,0,0,0
